id,species
201,Acer_Capillipes
227,Acer_Capillipes
498,Acer_Capillipes
569,Acer_Capillipes
610,Acer_Capillipes
990,Acer_Capillipes
1196,Acer_Capillipes
1377,Acer_Capillipes
1525,Acer_Capillipes
1562,Acer_Capillipes
160,Acer_Circinatum
164,Acer_Circinatum
166,Acer_Circinatum
235,Acer_Circinatum
268,Acer_Circinatum
496,Acer_Circinatum
962,Acer_Circinatum
1000,Acer_Circinatum
1019,Acer_Circinatum
1506,Acer_Circinatum
425,Castanea_Sativa
592,Castanea_Sativa
769,Castanea_Sativa
926,Castanea_Sativa
1087,Castanea_Sativa
1153,Castanea_Sativa
1229,Castanea_Sativa
1273,Castanea_Sativa
1296,Castanea_Sativa
1511,Castanea_Sativa
